surname,frequency,reason
YD,438,artifact/first_name
V,48,artifact/first_name
RAMESH,45,artifact/first_name
VENKATA,35,artifact/first_name
MADHU,33,artifact/first_name
KUMAR,29,artifact/first_name
SIVA,24,artifact/first_name
SAMBASIVA,23,artifact/first_name
K,19,artifact/first_name
SRIKANTH,19,artifact/first_name
SRINIVASA,18,artifact/first_name
SUPRIYA,18,artifact/first_name
HANUMANTHARAO,18,artifact/first_name
SANDEEP,18,artifact/first_name
VIJAY,18,artifact/first_name
NAGAMALLESWARA,17,artifact/first_name
J,17,artifact/first_name
BRAHMINI,17,artifact/first_name
S,17,artifact/first_name
NARENDRA,16,artifact/first_name
KRISHNA,15,artifact/first_name
VENU,15,artifact/first_name
PRATHYUSHA,14,artifact/first_name
BORRA.SRINIVASA,13,artifact/first_name
MADHAVI,13,artifact/first_name
SAMBASIVARAO,13,artifact/first_name
PRATYUSHA,12,artifact/first_name
SURESH,12,artifact/first_name
T,12,artifact/first_name
LAKSHMI,12,artifact/first_name
SRIDHAR,12,artifact/first_name
RAMA,11,artifact/first_name
REVANTH,11,artifact/first_name
P,10,artifact/first_name
SATYANARAYANA,10,artifact/first_name
KIRAN,10,artifact/first_name
DURGA,10,artifact/first_name
MURALI,10,artifact/first_name
SRINIVAS,9,artifact/first_name
SIRISHA,9,artifact/first_name
PADMA,9,artifact/first_name
ALURI.KAVITHA,9,artifact/first_name
RAJANI,9,artifact/first_name
INDIAN,9,artifact/first_name
NITHIN,9,artifact/first_name
PADMAJA,8,artifact/first_name
ADAVI.MEENA,8,artifact/first_name
N,8,artifact/first_name
SATISH,8,artifact/first_name
RAJA,8,artifact/first_name
MANJULA,8,artifact/first_name
CENTRAL,8,artifact/first_name
ANUSHA,7,artifact/first_name
ON,7,artifact/first_name
SUJATHA,7,artifact/first_name
SAILAJA,7,artifact/first_name
AP,7,artifact/first_name
K.KALYANA,6,artifact/first_name
SAI,6,artifact/first_name
PRAKASH,6,artifact/first_name
LEELA,6,artifact/first_name
MADALA.KARTHIK,6,artifact/first_name
S.MURUGAN,6,artifact/first_name
RANI,6,artifact/first_name
SUDHA,6,artifact/first_name
JHANSI,6,artifact/first_name
HEMALATHA,6,artifact/first_name
PADMAVATHI,6,artifact/first_name
BANK,6,artifact/first_name
KOTTHAPALLI.SUSHMA,5,artifact/first_name
SRINIVASARAO,5,artifact/first_name
YOGESH,5,artifact/first_name
ANURADHA,5,artifact/first_name
SANDHYA,5,artifact/first_name
PRABHAVATHI,5,artifact/first_name
MOHAN,5,artifact/first_name
JAYALAKSHMI,5,artifact/first_name
REVATHI,5,artifact/first_name
SUNEETHA,5,artifact/first_name
PENTAKOTA.LAVANYA,5,artifact/first_name
K.N.V.NATA,5,artifact/first_name
SOCIAL,5,artifact/first_name
KATTA.SIVANAGA,4,artifact/first_name
KR,4,artifact/first_name
RAMAKRISHNA,4,artifact/first_name
KOYI.MRUDULA,4,artifact/first_name
ANIL,4,artifact/first_name
SRILAKSHMI,4,artifact/first_name
RAMANA,4,artifact/first_name
LALITHA,4,artifact/first_name
E.CH.LINGANNA,4,artifact/first_name
USHA,4,artifact/first_name
HARINI,4,artifact/first_name
CHIDIPOTHU.MURALI,4,artifact/first_name
K.NAGALAKSHMI,4,artifact/first_name
SWATHI,4,artifact/first_name
ST,4,artifact/first_name
KOTHAPALLI.RAJINI,4,artifact/first_name
TANUKU.NAGAVENKATARAMAMARUTHIKISHORE,3,artifact/first_name
A,3,artifact/first_name
MANOJ,3,artifact/first_name
HARSHA,3,artifact/first_name
RAO,3,artifact/first_name
GANESH,3,artifact/first_name
HIMABINDU,3,artifact/first_name
BOYINA.LUDHARPAL,3,artifact/first_name
V.T.J.M,3,artifact/first_name
SWAPNA,3,artifact/first_name
KAVITA,3,artifact/first_name
R,3,artifact/first_name
BOKKA.PRABHUDASU,3,artifact/first_name
K.BASAVAPUNNAIAH,3,artifact/first_name
SHIVA,3,artifact/first_name
S.O,3,artifact/first_name
BHAVANI,3,artifact/first_name
LAKSHMANA,3,artifact/first_name
KUMARI,3,artifact/first_name
DEVINENI.GOPI,3,artifact/first_name
SIREESHA,3,artifact/first_name
