surname,frequency,example_full_names,constituencies,years
VENKATA,3,Venkata Chaitanya Lakkapamu | Venkata Rao Talari | Venkata Subbanna Yata,"CHINTALAPUDI (SC), KOVVUR (SC), SINGANAMALA (SC)",2024
KORIVI,3,Korivi Rajini Kanth | Korivi Vinaya Kumar | Korivi Vinay Kumar,PRATHIPADU (SC),"2019, 2024"
VIJAY,3,Vijay Kumar Bn | Vijay Kumar G.Srkr | Vijay Paul Kolakaluri,"SANTHANUTHALAPADU (SC), SATYAVEDU (SC), VEMURU (SC)",2024
ANANDA,3,Ananda Babu Nakka | Ananda Babu Srungarapati | Ananda Babu Nakka,"TADIKONDA (SC), VEMURU (SC)","2019, 2024"
AITHABATHULA,2,Aithabathula Anandarao | Aithabathula Subhashini,AMALAPURAM (SC),2024
AITABATHULA,2,Aitabathula Abhimanyudu | Aitabathula Ananda Babu,AMALAPURAM (SC),2024
DASARI,2,Dasari Sudha | Dasari Sudha,"BADVEL (SC), BADVEL (SC) : BYE ELECTION ON 30-10-2021","2019, 2024"
SINGAMALA,2,Singamala Venkateshwarlu | Singamala Venkateshwarlu,"BADVEL (SC), BADVEL (SC) : BYE ELECTION ON 30-10-2021","2019, 2024"
RAMESH,2,Ramesh Babu Deyala | Ramesh Babu Tenali,"GANGADHARA NELLORE (SC), TADIKONDA (SC)",2024
SATYANARAYANA,2,Satyanarayana Giddi S/O China Arjanna | Satyanarayana. Giddi S/O Rama Swamy,GANNAVARAM (SC),2024
SUNEEL,2,Suneel Raju Darla | M Suneel Kumar,"GUDUR (SC), PUTHALAPATTU (SC)",2024
LAKSHMI,2,Lakshmi Narasaiah Pandikalla | Lakshmi Naresh Kaaki,KODUR (SC),2024
DOCTOR,2,Doctor Dola Sree Bala Veeranjaneya Swamy | Doctor Goda Ramesh Kumar,"BADVEL (SC) : BYE ELECTION ON 30-10-2021, KONDAPI (SC)","2019, 2024"
KANAPARTHI,2,Kanaparthi Sivaramulu | Kanaparthi Sharathbabu,"KONDAPI (SC), VEMURU (SC)",2024
MUPPIDI,2,Muppidi Venkateswara Rao | Muppidi Sekhar Babu,KOVVUR (SC),2024
BABU,2,Babu Rajendraprasad. Rayavarapu | M Babu,"PAMARRU (SC), PUTHALAPATTU (SC)",2024
RAJA,2,M Raja Manohar | R Raja,"PAMARRU (SC), PUTHALAPATTU (SC)",2024
KUPPILI,2,Kuppili Venkata Ramana | Kuppili Chaitanyakumar,"PARVATHIPURAM (SC), RAJAM (SC)",2024
KIRAN,2,C Kiran Kumar | V. Kiran,SATYAVEDU (SC),2024
SAKE,2,Dr. Sake Sailajanath | Sake Sreedevi,SINGANAMALA (SC),2024
DODDA,2,Dodda Musalaiah | Dodda Nagamalli Raju,"PRATHIPADU (SC), TADIKONDA (SC)","2019, 2024"
BURAGA,2,Buraga Subba Rao | Buraga Ratnam,"BADVEL (SC) : BYE ELECTION ON 30-10-2021, VEMURU (SC)","2019, 2024"
BEERA,1,Beera Ramarao,AMALAPURAM (SC),2024
CHUTUGULLA,1,Chutugulla Veera Venkata Satyanarayana,AMALAPURAM (SC),2024
DEVARAPALLI,1,Devarapalli Rajiv,AMALAPURAM (SC),2024
ISWARYA,1,Iswarya Bojja,AMALAPURAM (SC),2024
MOHAN,1,Mohan Babu Polamuri,AMALAPURAM (SC),2024
PARAMATA,1,Paramata Syamkumar,AMALAPURAM (SC),2024
VARASALA,1,Varasala Satyanarayana,AMALAPURAM (SC),2024
VISWARUPU,1,Viswarupu Pinipe,AMALAPURAM (SC),2024
ALLURI,1,Alluri Sreenivasulu,BADVEL (SC),2024
BHAVANASI,1,Bhavanasi Venkatasubbarayudu,BADVEL (SC),2024
BOJJA,1,Bojja Roshanna,BADVEL (SC),2024
GAMGADHAR,1,Gamgadhar Dodagolla,BADVEL (SC),2024
KAMAGANDLA,1,Kamagandla Obaiah,BADVEL (SC),2024
MADDELA,1,Maddela Mallikarjuna Rao,BADVEL (SC),2024
NEERUGATTU,1,Neerugattu Dora Vijaya Jyothi,BADVEL (SC),2024
SAGALI,1,Sagali Gurappa,BADVEL (SC),2024
VANKELA,1,Vankela Srinivasulu,BADVEL (SC),2024
YAMBADI,1,Yambadi Singaraiah,BADVEL (SC),2024
ROSHAN,1,Roshan Kumar Songa,CHINTALAPUDI (SC),2024
ESTHER,1,Esther Rani Muvvala,CHINTALAPUDI (SC),2024
KALAPALA,1,Kalapala Prasad,CHINTALAPUDI (SC),2024
KAMBHAM,1,Kambham Vijaya Raju,CHINTALAPUDI (SC),2024
PACHIGOLLA,1,Pachigolla John Dharma Raju,CHINTALAPUDI (SC),2024
TORLAPATI,1,Torlapati Srinivasarao,CHINTALAPUDI (SC),2024
VUNNAMATLA,1,Vunnamatla Rakada Eliza,CHINTALAPUDI (SC),2024
VADINGADU,1,Vadingadu Munaswamy Thomas,GANGADHARA NELLORE (SC),2024
KARUNA,1,K. Karuna Sree,GANGADHARA NELLORE (SC),2024
KALLATHUR,1,Kallathur Krupalakshmi,GANGADHARA NELLORE (SC),2024
BHASKAR,1,P. Bhaskar,GANGADHARA NELLORE (SC),2024
PALLIPATTU,1,Pallipattu Gunasekhar,GANGADHARA NELLORE (SC),2024
PULIVELAM,1,Pulivelam Madhu,GANGADHARA NELLORE (SC),2024
RAMU,1,Ramu K,GANGADHARA NELLORE (SC),2024
T.D,1,T.D. Devaraj,GANGADHARA NELLORE (SC),2024
RAMA,1,V. Rama Raju,GANGADHARA NELLORE (SC),2024
GIDDI,1,Giddi. Satyanarayana S/O Mahalakshmi,GANNAVARAM (SC),2024
ANANDARAO,1,Anandarao Kollabathula,GANNAVARAM (SC),2024
BALAKRISHNA,1,Balakrishna Kota,GANNAVARAM (SC),2024
CHITTIBABU,1,Chittibabu Kondeti,GANNAVARAM (SC),2024
DUKKIPATI,1,Dukkipati Vijaya Chandra,GANNAVARAM (SC),2024
GANNAVARAPU,1,Gannavarapu Chandra Anand,GANNAVARAM (SC),2024
KHANDAVALLI,1,Khandavalli Surendra,GANNAVARAM (SC),2024
KOLLABATHULA,1,Kollabathula Satyanarayana (Satyam),GANNAVARAM (SC),2024
NAGABATHULA,1,Nagabathula Hemanth Kumar,GANNAVARAM (SC),2024
NAKKA,1,Nakka Sekhar,GANNAVARAM (SC),2024
VIPPARTHI,1,Vipparthi. Venugopalarao,GANNAVARAM (SC),2024
MADDIPATI,1,Maddipati Venkata Raju,GOPALAPURAM (SC),2024
BATHULA,1,Bathula Venu,GOPALAPURAM (SC),2024
BHARATHA,1,Bharatha Rao Sirra,GOPALAPURAM (SC),2024
DODDIGARLA,1,Doddigarla Nagarjuna,GOPALAPURAM (SC),2024
PENUMAKA,1,Penumaka Venkata Ratnam,GOPALAPURAM (SC),2024
RAPAKA,1,Rapaka Hareesh Kumar,GOPALAPURAM (SC),2024
SODADASI,1,Sodadasi Martin Luther,GOPALAPURAM (SC),2024
SRINIVASA,1,Srinivasa Rao Mulagala,GOPALAPURAM (SC),2024
PASIM,1,Pasim Sunil Kumar,GUDUR (SC),2024
ANNEM,1,Annem Mallikharjun,GUDUR (SC),2024
BIKKI,1,Bikki Venkata Ramanaiah,GUDUR (SC),2024
BODDU,1,Boddu Murali,GUDUR (SC),2024
UYYALA,1,Dr Uyyala Ramakrishna Rao,GUDUR (SC),2024
DURTHATI,1,Durthati Polamma,GUDUR (SC),2024
GORRIPATI,1,Gorripati Venkateswarlu,GUDUR (SC),2024
KARLA,1,Karla Ramesh Babu,GUDUR (SC),2024
MERIGA,1,Meriga Muralidhar,GUDUR (SC),2024
THATIPARTHI,1,Thatiparthi Babu,GUDUR (SC),2024
VADANALA,1,Vadanala Venkaiah,GUDUR (SC),2024
YALAPALLI,1,Yalapalli Srinivasulu,GUDUR (SC),2024
ARAVA,1,Arava Sreedhar,KODUR (SC),2024
AMBATI,1,Ambati Sivaiah,KODUR (SC),2024
DAMARLA,1,Damarla Siddaiah,KODUR (SC),2024
DARLA,1,Darla Goutham Kumar,KODUR (SC),2024
DEVI,1,Devi Gosala,KODUR (SC),2024
KORAMUTLA,1,Koramutla Sreenivasulu,KODUR (SC),2024
MANDAPALLI,1,Mandapalli Srinivasulu,KODUR (SC),2024
MANI,1,Mani Marella,KODUR (SC),2024
SUBBANARASAIAH,1,Subbanarasaiah Choudvaram,KODUR (SC),2024
SUBRAMANYAM,1,Subramanyam Tallapaka,KODUR (SC),2024
TUMMALA,1,Tummala Suresh,KODUR (SC),2024
YEDUKA,1,Yeduka Anji Babu,KODUR (SC),2024
AUDIMULAPU,1,Audimulapu Suresh,KONDAPI (SC),2024
JAMULLAMUDI,1,Jamullamudi Polaiah,KONDAPI (SC),2024
KANDIPATI,1,Kandipati Venkata Krishna Rao,KONDAPI (SC),2024
KONDALA,1,Kondala Rao Ambati,KONDAPI (SC),2024
MAMIDI,1,Mamidi Maalyadri,KONDAPI (SC),2024
MENDA,1,Menda Balakotaiah,KONDAPI (SC),2024
RAVURI,1,Ravuri Laksmanarao,KONDAPI (SC),2024
SRIKANTH,1,Srikanth Choppara,KONDAPI (SC),2024
SRINIVASARAO,1,Srinivasarao Boddu,KONDAPI (SC),2024
SUDHAKARA,1,Sudhakara Rao Pasumarthi,KONDAPI (SC),2024
SUJATHA,1,Sujatha Vighnam,KONDAPI (SC),2024
VANGEPURAM,1,Vangepuram Kasiraju,KONDAPI (SC),2024
ARIGELA,1,Arigela Aruna Kumari,KOVVUR (SC),2024
BONTA,1,Bonta Syam Ravi Prakash,KOVVUR (SC),2024
BONTHA,1,Bontha Kishore,KOVVUR (SC),2024
KAMALA,1,Kamala Arugolanu,KOVVUR (SC),2024
KOKKIRIPATI,1,Kokkiripati Chinababu,KOVVUR (SC),2024
SEKHAR,1,Sekhar Babu Koyya,KOVVUR (SC),2024
UBA,1,Uba Srikanth,KOVVUR (SC),2024
M.S.RAJU,1,M.S.Raju,MADAKASIRA (SC),2024
B.KARININGAPPA,1,B.Kariningappa,MADAKASIRA (SC),2024
D.INDEEVAR,1,D.Indeevar,MADAKASIRA (SC),2024
HALLIKERA,1,Hallikera Jagannatha Prasad,MADAKASIRA (SC),2024
IRALAKKAPPA.S.L,1,Iralakkappa.S.L,MADAKASIRA (SC),2024
K.SUDHAKAR,1,K.Sudhakar,MADAKASIRA (SC),2024
KADAMANE,1,Kadamane Raveendra,MADAKASIRA (SC),2024
M.LAKSHMINARASAPPA,1,M.Lakshminarasappa,MADAKASIRA (SC),2024
M.RAJANNA,1,M.Rajanna,MADAKASIRA (SC),2024
PARADESANNA,1,Paradesanna Gari Hanumantharaju,MADAKASIRA (SC),2024
R.G.PAVITHRA,1,R.G.Pavithra,MADAKASIRA (SC),2024
R.GURUMURTHY,1,R.Gurumurthy,MADAKASIRA (SC),2024
T.DHANARAJ,1,T.Dhanaraj,MADAKASIRA (SC),2024
TANGIRALA,1,Tangirala Sowmya,NANDIGAMA (SC),2024
BARRE,1,Barre Udaya Kiran,NANDIGAMA (SC),2024
BEZAWADA,1,Bezawada Gopi,NANDIGAMA (SC),2024
KATARAPU,1,Katarapu Santharao,NANDIGAMA (SC),2024
MONDITOKA,1,Monditoka Jagan Mohan Rao,NANDIGAMA (SC),2024
NIPPULAPALLI,1,Nippulapalli Koteswararao,NANDIGAMA (SC),2024
PANITI,1,Paniti Lal,NANDIGAMA (SC),2024
SUNDARA,1,Sundara Rao. Kottapalli,NANDIGAMA (SC),2024
KUMAR,1,Kumar Raja Varla,PAMARRU (SC),2024
ANIL,1,Anil Kumar Kaile,PAMARRU (SC),2024
DAS,1,D Y Das,PAMARRU (SC),2024
KODALI,1,Kodali Suneela,PAMARRU (SC),2024
NAYUDU,1,Nayudu. Sirisha Rani,PAMARRU (SC),2024
SALE,1,Sale Dinesh Babu,PAMARRU (SC),2024
BONELA,1,Bonela Vijaya Chandra,PARVATHIPURAM (SC),2024
ALAJANGI,1,Alajangi Jogarao,PARVATHIPURAM (SC),2024
BATHINA,1,Bathina Mohanarao,PARVATHIPURAM (SC),2024
GARBHAPU,1,Garbhapu Mohana Rao,PARVATHIPURAM (SC),2024
GUNTA,1,Gunta Jyothi,PARVATHIPURAM (SC),2024
POTNURU,1,Potnuru Kiran Kumar(Raj Kiran),PARVATHIPURAM (SC),2024
UDAYA,1,Udaya Bhanu Garbhapu,PARVATHIPURAM (SC),2024
ANITHA,1,Anitha Vangalapudi,PAYAKARAOPET (SC),2024
BOORTHI.YESAYYA,1,Boorthi.Yesayya,PAYAKARAOPET (SC),2024
DR.BONI,1,Dr.Boni Tata Rao,PAYAKARAOPET (SC),2024
DULAPALLI,1,Dulapalli Nageswararao,PAYAKARAOPET (SC),2024
JOGULU,1,Jogulu Kambala,PAYAKARAOPET (SC),2024
KAKARA,1,Kakara Narasimharao,PAYAKARAOPET (SC),2024
KRISHNA,1,Krishna Swaroop Vadlamuri,PAYAKARAOPET (SC),2024
PARAVADA,1,Paravada Ramakrishna,PAYAKARAOPET (SC),2024
BURLA,1,Burla Ramanjaneyulu,PRATHIPADU (SC),2024
BALASANI,1,Balasani Kiran Kumar,PRATHIPADU (SC),2024
BEJJAM,1,Bejjam Nagaraju,PRATHIPADU (SC),2024
BURRI,1,Burri Rambabu,PRATHIPADU (SC),2024
CHANDRAM,1,Chandram Krishanam Raju,PRATHIPADU (SC),2024
KATHI,1,Kathi Arun Kumar,PRATHIPADU (SC),2024
PALLAPATI,1,Pallapati Naveen,PRATHIPADU (SC),2024
PAUL,1,Paul Yandrapati,PRATHIPADU (SC),2024
S.S,1,S.S. Rani (Mahalakshmi),PRATHIPADU (SC),2024
SHARAT,1,Sharat Kumar Challa,PRATHIPADU (SC),2024
MURALI,1,K Murali Mohan,PUTHALAPATTU (SC),2024
AMMURU,1,Ammuru Purushotham,PUTHALAPATTU (SC),2024
PRAVEEN,1,C Praveen Kumar,PUTHALAPATTU (SC),2024
SANTHOSH,1,K Santhosh,PUTHALAPATTU (SC),2024
KANIPAKAM,1,Kanipakam Nageswara,PUTHALAPATTU (SC),2024
KATTAMANCHI,1,Kattamanchi Viswanadh Sai Mohan,PUTHALAPATTU (SC),2024
HARIPRASAD,1,N Hariprasad,PUTHALAPATTU (SC),2024
TOTI,1,Toti N R Naveen,PUTHALAPATTU (SC),2024
KONDRU,1,Kondru Murali Mohan,RAJAM (SC),2024
BOCCHA,1,Boccha Buddudu,RAJAM (SC),2024
TALE,1,Dr. Tale Rajesh,RAJAM (SC),2024
GANDI,1,Gandi Apparao,RAJAM (SC),2024
KAMBALA,1,Kambala Rajavardhana,RAJAM (SC),2024
MAJJI,1,Majji Ganapathi,RAJAM (SC),2024
MANNENA,1,Mannena Ramesh,RAJAM (SC),2024
YENNI,1,Yenni Raju,RAJAM (SC),2024
DEVA,1,Deva Varaprasad,RAZOLE (SC),2024
BODDAPALLI,1,Boddapalli Nageswara Rao,RAZOLE (SC),2024
GOLLAPALLI,1,Gollapalli Surya Rao,RAZOLE (SC),2024
KONDETI,1,Kondeti Prabhakaraa Reddy,RAZOLE (SC),2024
MANUKONDA,1,Manukonda Venkata Prasad,RAZOLE (SC),2024
MATHI,1,Mathi Jaya Prakash,RAZOLE (SC),2024
POTHUMUDI,1,Pothumudi Alivelu Mangatayaru,RAZOLE (SC),2024
PULAPAKURA,1,Pulapakura Lilini Asha Rani,RAZOLE (SC),2024
YARLAGADDA,1,Yarlagadda Krishna,RAZOLE (SC),2024
ESTHARLA,1,Estharla Sankaraiah,SANTHANUTHALAPADU (SC),2024
GATTUPALLI,1,Gattupalli Gopala Rao,SANTHANUTHALAPADU (SC),2024
KAILA,1,Kaila Venkata Rao,SANTHANUTHALAPADU (SC),2024
KATTI,1,Katti Ratnakumari,SANTHANUTHALAPADU (SC),2024
KATUKURI,1,Katukuri David,SANTHANUTHALAPADU (SC),2024
KOTI,1,Koti Ravikumar,SANTHANUTHALAPADU (SC),2024
MANDA,1,Manda Sarath Babu,SANTHANUTHALAPADU (SC),2024
NAGARJUNA,1,Nagarjuna Merugu,SANTHANUTHALAPADU (SC),2024
RAMBABU,1,Rambabu Chavabathina,SANTHANUTHALAPADU (SC),2024
TALLURI,1,Talluri Nagaraju,SANTHANUTHALAPADU (SC),2024
VADDIMUKKALA,1,Vaddimukkala Raveendrababu,SANTHANUTHALAPADU (SC),2024
VIJESH,1,Vijesh Raj Palaparthi,SANTHANUTHALAPADU (SC),2024
KONETI,1,Koneti Adimulam,SATYAVEDU (SC),2024
BALAGURAVAM,1,Balaguravam Babu,SATYAVEDU (SC),2024
SUPRIYA,1,C. Supriya,SATYAVEDU (SC),2024
JADDA,1,Jadda Raja Sekhar,SATYAVEDU (SC),2024
KOGILA,1,Kogila Venkatachalam,SATYAVEDU (SC),2024
KOMMALA,1,Kommala Raghavaiah,SATYAVEDU (SC),2024
CHENGAIAH,1,N. Chengaiah,SATYAVEDU (SC),2024
VEMPALLA,1,Vempalla Krishna Rao,SATYAVEDU (SC),2024
VETTI,1,Vetti Venkatesh,SATYAVEDU (SC),2024
YATHATI,1,Yathati Ramesh Babu,SATYAVEDU (SC),2024
BANDARU,1,Bandaru Sravani Sree,SINGANAMALA (SC),2024
ANAND,1,Anand Kumar. M,SINGANAMALA (SC),2024
RAMANJINEYULU,1,G Ramanjineyulu,SINGANAMALA (SC),2024
K.OBULESU,1,K.Obulesu,SINGANAMALA (SC),2024
KAPPALA,1,Kappala Nagaraju,SINGANAMALA (SC),2024
KAYALA,1,Kayala Rama Mohan,SINGANAMALA (SC),2024
KUNDANAM,1,Kundanam Gowthami,SINGANAMALA (SC),2024
MANNEPAKULA,1,Mannepakula Madhava,SINGANAMALA (SC),2024
MIDDE,1,Midde Nallappa,SINGANAMALA (SC),2024
V.SAI,1,V.Sai Prasad,SINGANAMALA (SC),2024
NELAVALA,1,Nelavala Vijayasree,SULLURPETA (SC),2024
BIGUVU,1,Biguvu Srinivasulu,SULLURPETA (SC),2024
CHANDANAMUDI,1,Chandanamudi Siva,SULLURPETA (SC),2024
KANDATI,1,Kandati Rajanikanth,SULLURPETA (SC),2024
KILIVETI,1,Kiliveti Sanjeevaiah,SULLURPETA (SC),2024
NIDIGUNTA,1,Nidigunta Aruna,SULLURPETA (SC),2024
T.S.RAGHAVULU,1,T.S.Raghavulu,SULLURPETA (SC),2024
THOPPANI,1,Thoppani Ramanaiah,SULLURPETA (SC),2024
TENALI,1,Tenali Sravan Kumar,TADIKONDA (SC),2024
GURRAM,1,Gurram Ramarao,TADIKONDA (SC),2024
MANCHALA,1,Manchala Sushil Raja,TADIKONDA (SC),2024
MARIYADASU,1,Mariyadasu Mendem,TADIKONDA (SC),2024
RAVELA,1,Ravela Yesaya,TADIKONDA (SC),2024
SRAVAN,1,Sravan Kumar Jada,TADIKONDA (SC),2024
SRUNGARAPATI,1,Srungarapati Baburao,TADIKONDA (SC),2024
KOLIKAPUDI,1,Kolikapudi Srinivasa Rao,TIRUVURU (SC),2024
BIMALA,1,Bimala Anusha,TIRUVURU (SC),2024
